t(s),Total retention volume 1 (H m-2),solute flux surface 1 (H m-2 s-1),solute flux surface 2 (H m-2 s-1),Average T volume 1 (K)
0.1,0.09554575096779827,0.3126271065779243,0.6273453740186603,500.60000000000014
0.21000000000000002,0.14891980643529726,0.16173830566312902,0.32287443314065223,500.71
0.33100000000000007,0.1933790256018023,0.12311963871091582,0.24385082114197584,500.83099999999996
0.46410000000000007,0.23430016547042418,0.10370470505425498,0.20337030764707906,500.96410000000003
0.6105100000000001,0.27365025550190486,0.09134613969824071,0.1771222889593702,501.1105100000001
0.7715610000000002,0.31239516818090385,0.08242712029896268,0.1579122322371213,501.27156099999996
0.9487171000000002,0.3510940992397473,0.0754590452854694,0.14280197886118995,501.4487171000001
1.1435888100000002,0.39010984360565276,0.06971164994081117,0.13035905107309928,501.64358881000004
1.3579476910000003,0.42970031913390927,0.0647857815066175,0.11979944671582787,501.85794769099994
1.5937424601000005,0.4700642843814937,0.06044733845443379,0.11065545981846352,502.0937424600998
1.8531167061100007,0.5113664812587703,0.0565523072203223,0.10262716234429019,502.3531167061099
2.138428376721001,0.5537523879139095,0.05300891960033943,0.0955091556963527,502.6384283767212
2.452271214393101,0.5973571786144843,0.04975677243232189,0.08915195416966781,502.95227121439285
2.7974983358324113,0.6423111416336538,0.04675444477998272,0.083440726740303,503.2974983358324
3.1772481694156527,0.6887427117768822,0.04397172575981352,0.07828326869626918,503.67724816941575
3.594972986357218,0.7367796948920573,0.0413845207305711,0.07360303735240742,504.09497298635705
4.05447028499294,0.786548886189104,0.038971382011416256,0.0693349640664311,504.55447028499304
4.5599173134922335,0.8381739616805903,0.03671101644713934,0.06542272523076757,505.05991731349224
5.115909044841457,0.8917711722238651,0.034580322822907156,0.06181670227223038,505.6159090448416
5.727499949325603,0.9474419565003949,0.032552642082675484,0.05847219814332046,506.2274999493257
6.400249944258164,1.0052611322227736,0.030596047225446912,0.05534770959110248,506.9002499442581
7.140274938683981,1.065258953622236,0.028671735031082935,0.0524032465218441,507.640274938684
7.95430243255238,1.1273953863849624,0.026732990957345253,0.049598898686154996,508.45430243255214
8.84973267580762,1.1915261252586928,0.024725809696984964,0.04689411417884602,509.3497326758078
9.834705943388382,1.257363036318424,0.0225928442067714,0.0442484301561043,510.3347059433884
10.918176537727222,1.3244370797860066,0.020282192845358746,0.04162445384011805,511.4181765377273
12.109994191499945,1.3920773756901108,0.017760576980271996,0.03899332578289185,512.6099941914999
13.42099361064994,1.4594211052378248,0.015026735537747481,0.036341518908895566,513.9209936106499
14.863092971714936,1.5254610940196454,0.012118059878566147,0.033676305769448245,515.3630929717149
16.44940226888643,1.5891234757277217,0.009105432486003507,0.031026990127660893,516.9494022688864
18.194342495775075,1.6493563697763456,0.006077858660345797,0.028440783854532133,518.6943424957752
20.113776745352585,1.7052101933985555,0.003124306447740581,0.025974852417843253,520.6137767453527
22.225154419887843,1.7558994193880733,0.00032020916748962147,0.023687505815471934,522.7251544198881
24.54766986187663,1.8008454820133322,-0.0022785972807083657,0.021630986565373215,525.0476698618767
27.102436848064297,1.8397045305826532,-0.004636287634491441,0.01984677286679852,527.6024368480643
29.91268053287073,1.8723820105719187,-0.006735052472055769,0.01836312490661221,530.412680532871
33.003948586157804,1.8990326826145114,-0.008572893365785319,0.01719425924111033,533.5039485861578
36.40434344477359,1.9200430981111212,-0.010161819287916745,0.016340732210052097,536.9043434447736
40.14477778925095,1.9359947430008997,-0.011526123443379754,0.015790875327458577,540.6447777892507
44.25925556817605,1.9476093313624199,-0.012700254040770905,0.015523218265961905,544.7592555681761
48.78518112499366,1.9556817394366384,-0.013726050760321464,0.015509753113985893,549.2851811249935
53.763699237493036,1.9610094411506267,-0.014649476462506507,0.015719727572358816,554.2636992374929
59.240069161242346,1.964328853166485,-0.015517252586678623,0.016123502524273216,559.7400691612423
65.26407607736658,1.9662679763514554,-0.016373929727372286,0.016695948433227865,565.7640760773663
71.89048368510325,1.9673211487885829,-0.017259871275234928,0.017418929620494683,572.390483685103
79.17953205361358,1.9678465594803904,-0.018210423164441478,0.018282631404670676,579.6795320536139
87.19748525897495,1.9680820866797082,-0.019256258604286064,0.0192857631593025,587.697485258975
96.01723378487245,1.9681717441783815,-0.02042462543225161,0.020434924341108787,596.5172337848721
100.0,1.968191487054848,-0.020961292628928558,0.020966384761063262,600.4999999999995
